sigla_uf;id_municipio;zona;secao;ano;melhor_urbano
PR;4106506;101;78;2022;POINT(-52.5751549 -25.9819465)
PR;4113908;37;22;2022;POINT(-50.8357745 -25.8029741)
PR;4109401;43;86;2022;POINT(-51.462 -25.433879)
PR;4115200;137;326;2022;POINT(-51.8997963 -23.4180299)
PR;4109401;44;433;2022;POINT(-51.4906285 -25.351769)
PR;4114500;196;149;2022;POINT(-51.675075 -24.519045)
PR;4100608;87;10;2022;POINT(-52.3178619 -23.1331837)
PR;4123501;129;132;2022;POINT(-54.3436541 -24.8696067)
PR;4105706;47;21;2022;POINT(-52.3684961 -26.4124227)
PR;4120606;30;64;2022;POINT(-51.22537333 -24.88401167)
PR;4122404;59;135;2022;POINT(-51.39255504 -23.33292815)
PR;4102109;67;1;2022;POINT(-51.6694594 -23.2390967)
PR;4111308;96;26;2022;POINT(-52.8817562 -22.7280747)
PR;4117701;13;14;2022;POINT(-50.00899255 -25.4325196)
PR;4127700;75;192;2022;POINT(-53.7308839 -24.7121875)
PR;4108403;69;285;2022;POINT(-53.0603587 -26.0696833)
PR;4126272;103;220;2022;POINT(-52.6151936 -25.6940852)
PR;4114906;76;42;2022;POINT(-51.2677397 -23.824874)
PR;4126678;146;119;2022;POINT(-51.0951225 -23.7227281)
PR;4114906;76;6;2022;POINT(-51.3065271 -23.7452608)
PR;4106902;178;460;2022;POINT(-49.2978255 -25.44782)
PR;4108809;90;94;2022;POINT(-54.260229 -24.0943514)
PR;4112405;149;6;2022;POINT(-52.552804 -23.470109)
PR;4105805;186;66;2022;POINT(-49.178211 -25.3717642)
PR;4105805;49;202;2022;POINT(-49.2312729 -25.319282)
PR;4106803;153;39;2022;POINT(-51.3006335 -25.887578)
PR;4122503;141;118;2022;POINT(-52.2747765 -24.5965705)
PR;4113700;42;241;2022;POINT(-51.1984757 -23.308022)
PR;4109401;43;36;2022;POINT(-51.4641039 -25.391219)
PR;4116109;92;103;2022;POINT(-53.0100541 -24.0515278)
PR;4113700;41;356;2022;POINT(-51.20144997 -23.28595562)
PR;4105805;49;6;2022;POINT(-49.2000376 -25.3492824)
PR;4106902;178;507;2022;POINT(-49.3331773 -25.4383667)
PR;4104204;9;31;2022;POINT(-49.5297054 -25.459518)
PR;4106902;177;747;2022;POINT(-49.21125648 -25.42884861)
PR;4106902;175;386;2022;POINT(-49.3412905 -25.59061282)
PR;4112504;93;170;2022;POINT(-51.68723782 -24.17950142)
PR;4127908;86;186;2022;POINT(-52.8791296 -23.8725464)
PR;4104204;9;175;2022;POINT(-49.5313623 -25.4678414)
PR;4101804;50;90;2022;POINT(-49.4342919 -25.5684471)
PR;4106902;1;472;2022;POINT(-49.27282461 -25.4256255)
PR;4107207;115;101;2022;POINT(-53.05716171 -25.73936301)
PR;4103453;126;128;2022;POINT(-53.3243408 -24.6186517)
PR;4118204;5;335;2022;POINT(-48.5329687 -25.5155648)
PR;4126256;206;11;2022;POINT(-51.87367035 -23.44366245)
PR;4105508;88;48;2022;POINT(-52.6115246 -23.6694306)
PR;4103040;38;285;2022;
