NR_ZONA,NR_SECAO,NM_LOCAL_VOTACAO
2,415,ESCOLA MUNICIPAL AUGUSTO CESAR SANDINO
4,648,REDE MARISTA DE SOLIDARIEDADE
145,774,ESCOLA MUNICIPAL PROFESSORA AUGUSTA GLUCK RIBAS
2,63,COLEGIO ESTADUAL LEONCIO CORREIA
1,483,ESCOLA MUNICIPAL  DUILIO CALDERARI
2,427,COLÉGIO PASSIONISTA N. S. MENINA
175,157,ESCOLA MUNICIPAL CEI PROFESSOR ANTONIO PIETRUZA
145,508,1538 - CEI FRANCISCO FRISCHMANN - 145ºZE-CURITIBA
4,445,ESCOLA MUNICIPAL MORADIAS DO RIBEIRAO
4,558,COLEGIO ESTADUAL PROTASIO DE CARVALHO
3,605,COLÉGIO ESTADUAL SENHORINHA DE MORAES SARMENTO
178,113,COLÉGIO ESTADUAL ÂNGELO VOLPATO
175,255,ESCOLA MUNICIPAL DO CAIC CANDIDO PORTINARI
145,667,1910 - ESCOLA MADRE TERESA DE CALCUTA - 145ªZE - CURITIBA
176,412,COLÉGIO SOCIAL MADRE CLELIA
178,685,ESCOLA MUNICIPAL CEI PADRE FRANCISCO MESZNER
176,85,COLÉGIO ESTADUAL JOÃO DE OLIVEIRA FRANCO
178,563,ESCOLA SANTA TERESINHA DO MENINO JESUS
177,415,ESCOLA MUNICIPAL MIGUEL KRUG
174,381,UFPR - CENTRO POLITÉCNICO
3,336,PARÓQUIA SÃO PAULO APÓSTOLO
178,561,ESCOLA SANTA TERESINHA DO MENINO JESUS
177,140,ESCOLA ESTADUAL PROFESSOR LYSIMACO FERREIRA DA COSTA
177,94,OPET - ORGANIZACAO PARANAENSE DE ENSINO TECNICO
178,513,ESCOLA ESTADUAL DOM ORIONE ( ANTIGA ESC. EST.  NILSON BATISTA RIBAS)
174,222,COLÉGIO ESTADUAL MILTON CARNEIRO
176,282,UNISANTA CRUZ - CAMPUS SEDE
174,33,COLEGIO PROFESSOR VICTOR DO AMARAL
1,545,ESCOLA MUNICIPAL ANA HELLA
2,188,COLEGIO NOSSA SENHORA DO ROSARIO
4,595,ESCOLA MUNICIPAL LINA MARIA MOREIRA
4,346,ESCOLA ESTADUAL MARECHAL CANDIDO RONDON
178,310,CEMEI PROFESSORA LYGIA CARNEIRO
3,587,ESCOLA ESTADUAL SÃO PAULO APÓSTOLO
177,108,UNICURITIBA (CENTRO UNIVERSITÁRIO CURITIBA)
3,569,ESCOLA MUNICIPAL IRATI
